,index,Date,City,State,Country,Type,Seconds,Duration,Description,Date added,Lat,Lon
112,72387,8/8/2004 23:30,carberry (south of) (canada),mb,ca,light,600.0,3-10 min.,Many moving constallations  flash and disappear into the dark rift of milky way,9/9/2004,49.866667,-99.35
113,74203,9/13/2009 22:30,winnipeg (canada),mb,ca,unknown,7200.0,2 + hours,bright  object  many colors stationary with a little movement,12/12/2009,49.883333,-97.166667
114,75526,9/18/2004 04:30,winnipeg (canada),mb,ca,light,7200.0,1-2 hours,Manitoba UFO,9/29/2004,49.883333,-97.166667
115,76617,9/2/2004 22:36,gimli (canada),mb,ca,fireball,60.0,1 minute,3 Green Very Bright Fire balls Slowly moving across the sky and coming down towards lake Winnipeg,9/9/2004,50.633333,-97.0
116,76709,9/2/2009 20:10,winnipeg (canada),mb,ca,triangle,7200.0,2 hours +,black triangle shape in the sky,12/12/2009,49.883333,-97.166667
117,77004,9/22/2010 20:45,thompson (canada),mb,ca,fireball,480.0,5-8 min,One Fire ball floating&#44 making abrupt changes in direction over Thompson Manitoba,11/21/2010,55.75,-97.866667
118,77213,9/23/2006 20:30,winnipeg (canada),mb,ca,triangle,300.0,5 minutes,Triangular aircraft flies RIGHT ABOVE OUR CAR over the highway&#44 and makes absolutely no noise.,10/30/2006,49.883333,-97.166667
119,77401,9/24/2005 22:00,winnipeg (canada),mb,ca,triangle,300.0,5 minutes,Weird triangle shaped object with 3 oval shaped things on the back which got small to big&#44 no sound&#44 slow moving.,10/11/2005,49.883333,-97.166667
120,77755,9/26/1999 23:30,winnipeg (north of) (canada),mb,ca,unknown,10.0,10 seconds,Blue light moving rapidly from N/W to S/E. Visible vapour trail&#44 no vehicle visible. Duration approx. 10 seconds.,12/2/2000,49.883333,-97.166667
121,77806,9/26/2004 23:30,winnipeg (canada),mb,ca,light,1.0,1 second,very brief streak of bright light moving at an incredible speed from south to north over winnipeg.,9/29/2004,49.883333,-97.166667
122,78754,9/30/2007 21:35,winnipeg (canada),mb,ca,triangle,10.0,10 seconds,Triangle object  with red lights above Winnipeg,10/8/2007,49.883333,-97.166667
123,78941,9/3/2007 23:00,brandon (canada),mb,ca,formation,480.0,8 minutes,5 bright lights in skies over Southwestern Manitoba forming patterns at high rate of speed,10/8/2007,49.833333,-99.95
124,79472,9/5/2013 22:00,winnipeg (canada),mb,ca,sphere,120.0,2 minutes,Orange orb flying low.,9/9/2013,49.883333,-97.166667
125,80066,9/8/2012 21:00,portage la prairie (canada),mb,ca,circle,120.0,2 minutes,3 orange/red balls ufo&#44,9/24/2012,49.966667,-98.3
126,80075,9/8/2012 22:20,winnipeg (canada),mb,ca,light,120.0,2 minutes,Two orange UFOs flying over Winnipeg tonight at 10:20pm.,9/24/2012,49.883333,-97.166667
