,index,Date,City,State,Country,Type,Seconds,Duration,Description,Date added,Lat,Lon
164,11902,11/2/1998 05:53,caledon (canada),on,ca,light,180,3 minutes,&quot;Two Craft&quot;&#44strobe light effects&#44the ability to ; hover &#44turn at right angles &#44disappear &#44reappear &#44 accelerate quickly &#44lose altitute,2/16/1999,43.866667,-80.0
165,11916,11/2/2000 16:30,cardinal (canada),on,ca,oval,45,45 sec,It was getting cold and I had changed our heating system from Gas to Wood &#44 just installing a new wood stove Selkirk .as the pieces,8/28/2003,44.783333,-75.366667
166,11995,11/2/2005 17:45,port hope (canada),on,ca,changing,7200,2 hours,Unidentified bright&#44 colour and form changing object in the sky.  ((NUFORC Note:  Possible sighting of Mars?  PD)),11/3/2005,43.95,-78.3
167,11996,11/2/2005 18:00,mississauga (canada),on,ca,cigar,30,30 seconds,I was sitting out on my porch Wednesday night (very clear night) when I looked up as something caught my eye and I saw a cigar shaped o,11/3/2005,43.15,-79.5
168,12024,11/2/2006 15:30,toronto (canada),on,ca,other,40,40 seconds,Metallic pill shaped object travels in westerly direction above Adelaide St  in dowtown Toronto.,2/1/2007,43.666667,-79.416667
169,12099,1/12/2009 20:02,muncey (canada),on,ca,light,8,5-8sec.,just a lihgt comming from the east and moving west. at the time i was taking the garbage to the garbage bin outside my home.white with,3/19/2009,42.816667,-81.43333299999999
170,12330,11/22/2005 19:00,london (canada),on,ca,triangle,5,3-5 sec,Definately a ufo..no airplane or asteroid in London ON,12/16/2005,42.983333,-81.25
171,12331,11/22/2005 19:00,london (canada),on,ca,triangle,5,5 seconds,In hottub at night (clear out)  . object was a dim light that moved silently across sky from north to south in about 5-7 seconds. then,12/16/2005,42.983333,-81.25
172,12423,11/22/2012 09:58,mississauga (canada),on,ca,formation,300,5 minutes,About 10 burning torches flying above Mississauga&#44 low speed&#44 in formation,12/20/2012,43.15,-79.5
173,12449,11/22/2012 21:30,ingersoll (canada),on,ca,circle,600,~10 minutes,Multiple orange lights moving south to north 50+.,12/20/2012,43.033333,-80.883333
174,12477,11/23/1963 10:00,thunder bay (canada),on,ca,disk,60,1 minute,This was not a UFO,4/16/2005,48.4,-89.233333
175,12562,11/23/2005 19:00,kingston (canada),on,ca,light,1800,30 minutes,Lightballs/orbs and strange craft seen near Kingston Ontario and caught on video,12/16/2005,44.233333,-76.483333
176,12577,11/23/2006 20:00,ottawa (canada),on,ca,sphere,300,5 minutes,Two brightly glowing spheres that changed colours from blue&#44 red&#44 green&#44 and yellow.,12/7/2006,45.416667,-75.7
177,12627,11/23/2011 20:00,toronto (canada),on,ca,changing,2400,40 minutes,Four faint&#44 moving lights and one chevron-shaped object seen in Scarborough&#44 Canada,12/12/2011,43.666667,-79.416667
178,12753,11/24/2006 12:45,hamilton (canada),on,ca,chevron,5,4-5 seconds,Fiery cheveron shape descends in the sky.,12/7/2006,43.25,-79.833333
179,13358,11/28/1999 16:30,mississauga (canada),on,ca,sphere,60,1 minute,A bright metallic object that looked like a sphere flew across the sky fairly slow.,12/2/2000,43.15,-79.5
180,13367,11/28/2000 09:00,oakville (canada),on,ca,chevron,180,3 min,They were brown&#44large eyes&#44 high picthed sound&#44 we blacked out and had skin taken from us.,12/20/2000,43.433333,-79.666667
181,13496,11/28/2008 22:30,tecumseh (canada),on,ca,diamond,10,10 seconds,Whitish Grey Diamond Shaped UFOs,1/10/2009,42.316667,-82.9
182,13553,11/28/2013 14:00,kingston (canada),on,ca,circle,300,5 minutes,2 Suns? Comet?,12/2/2013,44.233333,-76.483333
183,13613,11/29/1999 01:40,windsor (canada),on,ca,fireball,3,3 seconds,Green light moves at high speed across the sky.,12/2/2000,45.583333,-72.0
184,13763,11/30/1997 22:15,cardinal (canada),on,ca,cone,420,7 min&#39s,My wife and I were just on our way to bed when I noticed this Bright light to the back of our property. At a distance of about 1 mile a,12/2/2000,44.783333,-75.366667
185,13771,11/30/1999 06:30,markham (canada),on,ca,triangle,2700,45 min,Bright triangle shape object,12/2/2000,43.866667,-79.266667
186,13779,11/30/2000 09:00,oakville (canada),on,ca,chevron,180,3 minuets,we saw 6 Chevron shaped craft fly behind a hill. When we went to see we saw 8 more behind the hill. They seemed to be damaged. we saw 4,12/20/2000,43.433333,-79.666667
187,13817,11/30/2004 05:00,north bay (canada),on,ca,diamond,600,10 min,An object observed hovering with candle white lights hued purple in front of house.,12/3/2004,46.3,-79.45
188,13863,11/30/2010 18:30,niagara falls (canada),on,ca,light,30,30 sec,(Blue light)  travelling a little faster then a plane that pulsated...then stopped and vanished,1/5/2011,43.1,-79.05
189,13923,11/3/1979 23:50,brampton (canada),on,ca,cross,30,30 sec,This was scary as I never saw my father again,5/15/2006,43.683333,-79.766667
190,14061,11/3/2005 22:30,chatham (canada),on,ca,oval,10,5-10 secs,3 oval shaped objects&#44 red or pinkish colour&#44 not very bright&#44  moving VERY quickly&#33,11/8/2005,42.4,-82.18333299999999
191,14235,11/3/2012 21:40,milton (canada),on,ca,unknown,120,2 minutes,Near Appleby line&#44 3 bright white rapidly blinking lights;VANISHED&#44 only to reappear further away moments later,11/19/2012,46.3,-63.216667
192,14320,11/4/1998 05:00,port colborne (canada),on,ca,fireball,600,10 min,Fireballs in the sky looked like one carshed into lake erie,12/2/2000,42.883333,-79.233333
193,14341,11/4/2000 18:15,prescott (canada),on,ca,circle,480,8 mins,Two rotating rings&#44 one inside the other&#44 counter clockwise.  About 12 lights on outer&#44 5 on inner.,12/2/2000,44.716667,-75.516667
194,14554,11/4/2012 10:45,brampton (canada),on,ca,flash,10,10 seconds,2 quick bright green flashes of light&#44 one right after another.,11/19/2012,43.683333,-79.766667
195,14668,1/15/1980 21:45,toronto (canada),on,ca,disk,480,8 minutes,Super-colossal circle of rotating lights perpendicular to the ground &quot;sailing&quot; over major city.,10/8/2007,43.666667,-79.416667
196,14689,1/15/1990 22:00,deseronto (canada),on,ca,triangle,600,10 minutes,Unidentified Flying Triangle&#44 Ontario Canada.,5/14/2002,44.2,-77.033333
197,14833,11/5/2003 21:00,toronto (canada),on,ca,flash,15,15 seconds,BURST OF GREEN GLOWING LIGHT IN THE NIGHT SKY,11/8/2003,43.666667,-79.416667
198,14834,11/5/2003 21:00,toronto (canada),on,ca,light,10,10 secs,Light swooped in&#44 I was on highway 400 north at exit 88. Light was Greenish blue about400 feet off the ground&#44 thought it was going,11/26/2003,43.666667,-79.416667
199,15107,11/5/2012 21:00,pickering (canada),on,ca,oval,2700,45 minutes,At least 30 orange lights travel silently&#44 in a straight line&#44 over the night sky of Pickering&#44 Ontario&#44 Canada,11/19/2012,43.866667,-79.033333
200,15108,11/5/2012 21:10,pickering (canada),on,ca,light,900,15 minutes+,Orange light balls over Pickering&#44 Ontario&#44 November 5&#44 2012.,12/20/2012,43.866667,-79.033333
201,15268,11/6/2004 13:05,tecumseh (canada),on,ca,other,20,20 seconds,Sited shiny dark grey angular saucer pea sized UFO at arms length  bobbing and wobbling in a linnear easterly 70 mph vector 13:05 hrs.,11/9/2004,42.316667,-82.9
202,15294,11/6/2005 19:17,kingston (canada),on,ca,changing,90,90 seconds,an object with a white light at the front and up to 6 red and white lights on the back was moving across the sky,11/8/2005,44.233333,-76.483333
203,15520,11/7/1972 05:20,ottawa (canada),on,ca,disk,60,60 seconds,I have lived with this event my whole life and to this day even as a retired Military Air Traffic Controller&#44 I remember the event like,3/21/2003,45.416667,-75.7
204,15603,11/7/2003 18:30,barrie (canada),on,ca,other,45,45 seconds,I have never seen anything like it before.,11/26/2003,44.383333,-79.7
