,index,Date,City,State,Country,Type,Seconds,Duration,Description,Date added,Lat,Lon
12,13654,11/29/2005 06:50,edmundston (canada),nb,ca,unknown,180,3 minutes,Edmundston&#44 NB&#44 Canada lights going fast in the sky turn 90 degrees at speed that we could not explain,12/16/2005,47.366667,-68.333333
13,13920,11/30/2013 23:00,fredericton (canada),nb,ca,triangle,300,5 minutes,Triangular aircraft&#44 not making any noise.  Flew very low and very fast.  Had ember lights and vanished after 5 mins.,12/2/2013,45.95,-66.633333
14,14647,1/15/1968 19:30,memramcook (canada),nb,ca,other,900,+- 15 min ??,Car sized flashing light followed silently overhead,2/12/2004,46,-64.55
15,15130,11/5/2013 17:30,oromocto (canada),nb,ca,triangle,600,10 minutes,Strange orange triangle.,11/11/2013,45.85,-66.466667
16,15432,11/6/2011 19:10,moncton (canada),nb,ca,light,60,1 minute,2 red fireballs,12/12/2011,46.083333,-64.766667
17,15690,1/17/2006 17:30,fredericton (canada),nb,ca,cigar,1200,20 min,it was a dark metalic long object&#44  the smoke trail was faint.,2/14/2006,45.95,-66.633333
18,19102,1/2/2004 21:00,lameque (canada),nb,ca,light,3600,1 hour,FLYING OBJECT  WITH CHANGING LIGHTS  AND  CHANGING COLOR,1/22/2004,47.783333,-64.633333
19,20030,12/23/2006 20:00,renous (canada),nb,ca,cylinder,6,5-6 seconds,While driving through a game refuge&#44 I saw this yellowish - white cylindrical object very high above the  trees.,1/21/2008,46.816667,-65.8
20,23341,1/27/2012 14:23,richibucto (canada),nb,ca,disk,180,2-3 minutes,Low hovering ufo in richibucto&#44 new brunswick&#44 canada,2/3/2012,46.683333,-64.866667
21,23617,12/8/2010 00:00,fredericton (canada),nb,ca,disk,3600,1 hr,((HOAX??))  multiple object sightings,7/4/2011,45.95,-66.633333
22,24259,1/31/2014 18:08,moncton (canada),nb,ca,fireball,2,2 seconds,Green fireball meteor.,2/7/2014,46.083333,-64.766667
23,26895,2/16/2003 20:36,sackville (canada),nb,ca,light,15,15 seconds,Single white light that dove downward,3/4/2003,45.883333,-64.35
24,29355,2/4/2011 19:00,saint john (canada),nb,ca,light,600,10 minutes,Multiple amber colored lights in the night sky over Saint John,2/8/2011,45.266667,-66.06666700000001
25,30353,3/10/2013 16:59,oak bay (canada),nb,ca,flash,2,2 seconds,Bright piercing pure white light from northwest of my home... lighting up my entire home. The light hurt my eyes and my dog immediately,4/12/2013,48.05,-66.616667
26,30354,3/10/2013 16:59,oak bay (canada),nb,ca,flash,2,2 seconds,Bright piercing pure white light from northwest of my home... lighting up my entire home. The light hurt my eyes and my dog immediately,8/30/2013,48.05,-66.616667
27,34577,3/3/2012 23:00,st. john (canada),nb,ca,formation,600,10 min,We were driving home just past Spruce Lake area when we noticed the light to the left of the road just below plane height&#44 then by the,3/13/2012,45.266667,-66.06666700000001
28,34911,3/5/2014 21:55,rothesay (canada),nb,ca,fireball,3,3 seconds,((NUFORC Note:  No information provided by witness.  PD)),3/18/2014,45.383333,-66.0
29,35263,3/7/2014 03:00,dieppe (canada),nb,ca,circle,1800,30 minutes,Red&#44 yellow&#44 blue&#44 green lights around a bright circular shape form early 3am.  ((NUFORC Note:  Possible star??  PD)),3/18/2014,46.1,-64.75
30,37931,4/20/2004 01:30,moncton (canada),nb,ca,sphere,120,2 minutes,Sphere with bright headlight.,12/3/2004,46.083333,-64.766667
31,38532,4/22/2011 21:30,hampton (canada),nb,ca,light,180,3 min,Bright light NE of Hampton elavation 40 degrees heading E rising  then north.,5/2/2011,46.216667,-63.466667
32,40066,4/3/2010 21:57,moncton (50.42km before) (canada),nb,ca,other,30,30 sec,Large Square UFO over Car Ahead of Me&#44 on Route #2 Highway&#44 Nearing Moncton&#44 New Brunswick,4/13/2010,46.083333,-64.766667
33,40068,4/3/2010 23:30,miramichi (canada),nb,ca,triangle,300,2-5 min,Triangle ufo seen flying of the city of miramichi&#44 3 lights on on the edges and a search light in the center,4/13/2010,47.033333,-65.18333299999999
34,41945,5/12/2010 23:18,riverview (canada),nb,ca,diamond,300,5 minutes,It stopped and changed directions frequently&#44 and eventually disappeared.,6/3/2010,46.05,-64.81
35,43657,5/2/1994 22:00,glassville (canada),nb,ca,diamond,300,5 minutes,My Dad and I were driving down the street when I looked up and saw it&#44 it was huge&#44 it had a triagular top and bottom with revolving li,4/2/1999,46.483333,-67.416667
36,44543,5/26/2013 23:00,st. george (canada),nb,ca,other,600,10 minutes,It looked like the moon&#44 very bright&#44 almost red&#44 but it went down&#44 then back up until it was gone.,6/2/2013,48.433333,-58.5
37,46927,6/1/1961 20:00,aroostook (canada),nb,ca,sphere,15,10-15 seconds,Bigger than fullmoon sized yellowish-silver sphere flying over house at dusk seen by boy on bycycle.,7/3/2013,46.8,-67.716667
38,46983,6/1/1966 22:00,three rivers (canada),nb,ca,cigar,1200,20 min,cigar like object very large 300+ft 300 ft off ground remote location crossing valley along t.c. newbrunswick canada,2/14/2006,46.35,-72.55
39,47512,6/1/1992 01:30,gagetown (canada),nb,ca,disk,900,10 to 15minutes,Canadian Forces Reservist UFO sighting in Gagetown&#44 NB,7/16/2006,45.766667,-66.15
40,47523,6/1/1992 23:20,gagetown (canada),nb,ca,oval,120,2 minutes,Army Training Exercise,12/16/2005,45.766667,-66.15
41,47524,6/1/1992 23:20,gagetown (canada),nb,ca,oval,120,2 minutes,Mutual Sighting,5/2/2011,45.766667,-66.15
42,49013,6/15/1993 22:00,moncton (canada),nb,ca,disk,480,approx. 8 minutes,we were parked in the woods&#44 with my headlights turned off. 3 of us. I had trouble turning the small volkswagon around on that narrow r,8/28/2002,46.083333,-64.766667
43,49750,6/17/2007 02:30,saint john (canada),nb,ca,fireball,600,10 mins,Flashing starlight objects hovering in sky.  ((NUFORC Note:  Stars or planets??  PD)),8/7/2007,45.266667,-66.06666700000001
44,50070,6/19/2001 02:00,riverview (canada),nb,ca,unknown,7,7 seconds,Cylindar shaped ufo and flaring light in sky,8/5/2001,46.05,-64.81
45,50773,6/21/2013 23:00,fredericton (canada),nb,ca,fireball,30,1/2 hour,Several orange yellow fireballs in the sky over Fredericton&#44 then the lights went out&#44 turned black and disappeared.,7/3/2013,45.95,-66.633333
46,50882,6/2/2011 18:00,st. andrews (canada),nb,ca,sphere,120,2 min,UFO Objects Found,10/10/2011,47.783333,-59.233332999999995
47,50896,6/2/2012 02:25,miramichi (canada),nb,ca,cylinder,60,1 minute,Advent amateur astronomer witnessed phenomenon,6/5/2012,47.033333,-65.18333299999999
48,51252,6/23/2005 16:00,bathurst (canada),nb,ca,light,240,4 min,Clear day&#44 light in sky,7/5/2005,47.6,-65.65
49,51990,6/26/2010 22:55,saint john (canada),nb,ca,sphere,240,4 minutes,Strange sphere passing through night sky,7/28/2010,45.266667,-66.06666700000001
50,52717,6/30/1972 00:00,gagetown (army base) (canada),nb,ca,disk,900,15 minutes,SIGHTING UFO NEAR ARMY BASE&#33 NOT HELICOPTERS BUT FLYING SAUCERS&#33,3/13/2012,45.766667,-66.15
51,53007,6/30/2002 22:30,saint john (canada),nb,ca,light,7200,2hrs,it looked like a very fast moving tiny star very high &#44 very high. it did not leave a trail of light it did not land or fade.,7/26/2002,45.266667,-66.06666700000001
