,index,Date,City,State,Country,Type,Seconds,Duration,Description,Date added,Lat,Lon
249,72859,9/10/2003 21:50,calgary (canada),ab,ca,triangle,5.0,4 to 5 seconds,Three bright lights moving in a triangle formation in a low altitude,9/12/2003,51.083333,-114.08333300000001
250,72906,9/10/2006 23:50,cherry grove (canada),ab,ca,triangle,3600.0,30-60mins+,Sighting in Canada: Rural Area,3/19/2009,54.355,-110.08
251,73030,9/10/2013 23:00,edmonton (canada),ab,ca,unknown,15.0,15 seconds,Blue streak in night sky,9/30/2013,53.55,-113.5
252,73684,9/1/2010 22:40,airdrie (canada),ab,ca,light,15.0,15 seconds,Bright light moving across the sky over Airdrie&#44 Alberta&#44 Canada.,11/21/2010,51.266667,-114.016667
253,73904,9/12/2004 23:10,westlock (canada),ab,ca,triangle,15.0,15 seconds at most,The craft seemed to be darker in color&#44 possibly grey/black&#44 or a charcoal color but stood out from the color of the clear night sky,9/29/2004,54.15,-113.86666699999999
254,73971,9/12/2009 22:00,calgary (canada),ab,ca,light,90.0,90 seconds,bright light shot upwards in sky,12/12/2009,51.083333,-114.08333300000001
255,74066,9/13/1998 22:00,calgary (canada),ab,ca,circle,20.0,15-20 secs,6 or 7 circular objects flying in triagular formation,10/12/2001,51.083333,-114.08333300000001
256,74067,9/13/1998 22:00,calgary (canada),ab,ca,formation,60.0,1 minute,red and green circles in a V formation,6/12/2002,51.083333,-114.08333300000001
257,74313,9/14/2001 17:30,calgary (canada),ab,ca,circle,300.0,5 min.,Round shiny object with flashing light or revolving in the sunlight crossed behind passenger jet.,10/12/2001,51.083333,-114.08333300000001
258,74323,9/14/2002 03:00,leduc (canada),ab,ca,triangle,60.0,60 seconds,Nightime Residential low flying black triangle captured on video.,9/19/2002,53.266667000000005,-113.53333300000001
259,74529,9/15/1960 21:30,barrhead (canada),ab,ca,other,1200.0,20 minutes,HBCCUFO CANADIAN REPORT:  Daddy&#44 there is a stop light sitting in the grain field.,8/28/2003,54.11666700000001,-114.4
260,74632,9/15/1983 22:00,holden (canada),ab,ca,oval,30.0,20-30 seconds,Small white light makes 90 degree turn in sky.,4/27/2004,53.233332999999995,-112.233333
261,74693,9/15/1996 16:00,vegreville (canada),ab,ca,cylinder,1800.0,approx: 30 minutes,HBCCUFO CANADIAN REPORT:  Golden cylinder was pacing our vehicle.,8/1/2003,53.5,-112.05
262,74843,9/15/2003 23:20,airdrie (canada),ab,ca,circle,30.0,30 seconds,HBCCUFO CANADIAN REPORT:  Large ring of white lights.,12/9/2003,51.266667,-114.016667
263,75163,9/16/2008 18:30,spruce grove (canada),ab,ca,light,600.0,ten minutes,My observation of colored&#44 star-size lights near the horizon while leaving in the morning for work.  ((NUFORC Note:  Stars??  PD)),10/31/2008,53.533333,-113.91666699999999
264,75221,9/16/2013 17:00,st. albert (canada),ab,ca,disk,5.0,5 seconds,White/Silver Saucer with white lights hovering 100m over houses,9/30/2013,53.63333299999999,-113.63333300000001
265,75236,9/17/1993 22:00,red deer (canada),ab,ca,other,120.0,1- 2 minutes,Strange shaped object&#44 no sound&#44 no lights&#44 moving slowly about 20 ft off the deck.,6/18/2004,52.266667,-113.8
266,75520,9/18/2003 23:00,edmonton (canada),ab,ca,unknown,180.0,3 minutes,Two objects with highly intense brilliant white flashes moving slowly north at extremely high altitude in parallel orbit.,9/24/2003,53.55,-113.5
267,75774,9/19/2005 00:00,fort mcmurray (earth) (canada),ab,ca,unknown,120.0,couple mins,Strange light moving around the moon observed from front walk way,10/11/2005,56.733332999999995,-111.38333300000001
268,76058,9/20/1999 22:05,calgary (canada),ab,ca,light,7.0,7 sec.,Enjoying the starf filled night.I was alerted by a rapidly blinking light to the east.It moved flashed twice and dissappeared.It reappe,12/2/2000,51.083333,-114.08333300000001
269,76259,9/20/2013 12:00,calgary (canada),ab,ca,other,300.0,5 minutes,Green orbs in CHEM trails.  ((NUFORC Note:  Optical effects of the lens&#44 we suspect.  PD)),9/30/2013,51.083333,-114.08333300000001
