,index,Date,City,State,Country,Type,Seconds,Duration,Description,Date added,Lat,Lon
109,71673,8/5/2009 00:45,aylmer (canada),qc,ca,unknown,2.0,2 seconds,2 green lights fly by fast and vanish,8/5/2009,45.4,-75.85
110,72434,8/8/2008 23:05,aylmer (canada),qc,ca,rectangle,60.0,1 min,Bright Orange Light over Ottawa River,8/12/2008,45.4,-75.85
111,73617,9/1/2006 22:00,gatineau (canada),qc,ca,circle,120.0,2 minutes,UNNEXPLAINED ARC FORMATION IN NIGHT SKY,10/30/2006,45.483333,-75.65
112,73744,9/1/2012 22:00,chateauguay (canada),qc,ca,light,300.0,5 minutes,3 orange lights in a triangular shape,9/24/2012,45.383333,-73.75
113,74136,9/13/2004 20:00,brossard (canada),qc,ca,light,30.0,30 seconds,I was walking to the bus stop on Rome street at around 8:00PM after night school class. Suddenly&#44 a blueish light sphere in the sky cou,1/19/2005,45.45,-73.483333
114,74155,9/13/2005 21:45,pierrefonds (canada),qc,ca,light,30.0,30 sec,fast moving strobe light over montreal moving east made a stop and 90&#186; turn to the north,9/15/2005,45.466667,-73.883333
115,75460,9/18/1991 23:00,montreal (canada),qc,ca,triangle,60.0,about one minute,Black Triangle over Montreal,1/17/2004,45.5,-73.583333
116,75657,9/18/2013 21:00,montreal (canada),qc,ca,light,10800.0,3 hours,Strange lights in the sky over Montreal QC Canada.,9/30/2013,45.5,-73.583333
117,77406,9/24/2006 14:30,montreal (canada),qc,ca,changing,1800.0,one hour,http://ufocasebook.conforums.com/index.cgi?board=canada&amp;action=display&amp;num=1149880510,10/30/2006,45.5,-73.583333
118,77596,9/25/2005 02:00,chateauguay (canada),qc,ca,changing,120.0,1-2 minutes,Pulsating bright greenish white object that hovered and then disapeared into thin air,10/11/2005,45.383333,-73.75
119,77875,9/26/2010 20:25,gatineau (canada),qc,ca,oval,180.0,2-3 minutes,Object with three red lights coming down,11/21/2010,45.483333,-75.65
120,78825,9/30/2012 23:00,hull (canada),qc,ca,triangle,300.0,5 minute,Triangle craft  whit 3 really bright beams of lights that look exactly like the 1990 belgium sightings.,2/4/2013,45.433333000000005,-75.733333
121,79680,9/7/1998 14:50,berthierville (canada),qc,ca,disk,120.0,2min,the saucer was as big as my house&#44 and there where no rush&#44just like a sunday afternoon ride.,2/12/2004,46.083333,-73.166667
122,79977,9/8/2007 21:00,st. bruno (canada),qc,ca,formation,15.0,10-15 seconds,V Shapped formation of redish orange fots,10/8/2007,47.466667,-79.43333299999999
123,80203,9/9/2005 21:00,montreal (canada),qc,ca,formation,30.0,30 sec,looking at the stars&#44 and at that veru moment&#44 what looked like 4 stars&#44 they were moving&#44 what seemed to be at speed of light...i watc,10/11/2005,45.5,-73.583333
